,Latitude Decimal Degrees,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Cardinal,Longitude Decimal Degrees,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Cardinal
Alert,82.51777777777778,82,31,4,N,-62.28055555555555,62,16,50,W
Belleville,44.19222222222222,44,11,32,N,-77.30944444444444,77,18,34,W
Brandon,49.90972222222222,49,54,35,N,-99.95083333333334,99,57,3,W
Brantford,43.13138888888889,43,7,53,N,-80.3425,80,20,33,W
Burlington,43.442499999999995,43,26,33,N,-79.85083333333333,79,51,3,W
Calgary,51.11388888888889,51,6,50,N,-114.02027777777778,114,1,13,W
Charlottetown,46.29,46,17,24,N,-63.12111111111111,63,7,16,W
Churchill,58.73722222222222,58,44,14,N,-94.05722222222222,94,3,26,W
Dawson,64.04305555555555,64,2,35,N,-139.1277777777778,139,7,40,W
Edmonton,53.572500000000005,53,34,21,N,-113.52055555555556,113,31,14,W
Fredericton,45.86944444444445,45,52,10,N,-66.53166666666667,66,31,54,W
Guelph,43.55,43,33,0,N,-80.26666666666667,80,16,0,W
Halifax,44.880833333333335,44,52,51,N,-63.50861111111111,63,30,31,W
Hamilton,43.17194444444444,43,10,19,N,-79.93138888888889,79,55,53,W
Kingston,44.22527777777778,44,13,31,N,-76.59694444444445,76,35,49,W
Kitchener,43.45888888888889,43,27,32,N,-80.38444444444445,80,23,4,W
Lethbridge,49.63027777777778,49,37,49,N,-112.79972222222221,112,47,59,W
London,42.95861111111111,42,57,31,N,-81.22583333333334,81,13,33,W
Medicine Hat,50.01888888888889,50,1,8,N,-110.72083333333333,110,43,15,W
Moncton,46.11222222222222,46,6,44,N,-64.6825,64,40,57,W
Montreal,45.684999999999995,45,41,6,N,-73.93111111111112,73,55,52,W
Moose Jaw,50.330000000000005,50,19,48,N,-105.55805555555555,105,33,29,W
Niagara Falls,43.11666666666667,43,7,0,N,-79.06666666666666,79,4,0,W
North Bay,46.43333333333333,46,26,0,N,-79.46666666666667,79,28,0,W
Ottawa,45.31916666666667,45,19,9,N,-76.02222222222223,76,1,20,W
Peterborough,44.230000000000004,44,13,48,N,-78.36333333333333,78,21,48,W
Prince Rupert,54.28611111111111,54,17,10,N,-130.44472222222223,130,26,41,W
Quebec City,48.79333333333333,48,47,36,N,-71.3913888888889,71,23,29,W
Regina,50.43194444444444,50,25,55,N,-104.66583333333334,104,39,57,W
Saint Catherines,43.19166666666666,43,11,30,N,-79.17166666666667,79,10,18,W
Saint John,45.316111111111105,45,18,58,N,-65.89027777777778,65,53,25,W
Saint John's,47.618611111111115,47,37,7,N,-52.75194444444445,52,45,7,W
Saskatoon,52.170833333333334,52,10,15,N,-106.69972222222222,106,41,59,W
Sault Ste Marie,46.485,46,29,6,N,-84.50944444444444,84,30,34,W
Sherbrooke,45.43805555555555,45,26,17,N,-71.69055555555556,71,41,26,W
Sudbury,46.625,46,37,30,N,-80.79888888888888,80,47,56,W
Syndey,46.16138888888889,46,9,41,N,-60.047777777777775,60,2,52,W
Thunder Bay,48.371944444444445,48,22,19,N,-89.32388888888889,89,19,26,W
Timmins,48.569722222222225,48,34,11,N,-81.37666666666667,81,22,36,W
Toronto,43.6275,43,37,39,N,-79.39611111111111,79,23,46,W
Trois-Rivieres,46.35277777777778,46,21,10,N,-72.67944444444444,72,40,46,W
Vancouver,49.19499999999999,49,11,42,N,-123.18194444444445,123,10,55,W
Victoria,48.64694444444444,48,38,49,N,-123.42583333333334,123,25,33,W
Windsor,42.27472222222222,42,16,29,N,-82.95833333333334,82,57,30,W
Winnipeg,49.91083333333333,49,54,39,N,-97.24333333333334,97,14,36,W
Yellowknife,62.46277777777778,62,27,46,N,-114.44027777777778,114,26,25,W
